entity_uuid,fund_uuid,fund_name,started_on,announced_on,raised_amount,raised_amount_currency_code,created_at,updated_at
b08efc27-da40-505a-6f9d-c9e14247bf36,607b6691-b55c-e1cc-c1b3-f378653b8d74,Accel Growth Fund,,2008-12-11,480000000,USD,2014-05-31 08:04:54,2014-09-12 16:05:09
b08efc27-da40-505a-6f9d-c9e14247bf36,00a95ebb-7a5a-737d-5387-fef921a8dccf,Accel London III,,2008-12-11,525000000,USD,2014-05-31 08:06:35,2014-09-12 16:05:10
ed24f9ce-2313-cb8c-8ff2-9de6899ea992,91689241-2035-2f96-3ab6-d7706213f61a,Venrock Healthcare Capital LP,,2008-11-04,,USD,2015-09-29 05:56:57,2015-09-29 05:57:22
a2b35e8b-e3e9-883b-8a07-38e6ef57d726,e803081d-0974-eda7-ab5f-c0f1a0a432fe,U.S. Venture Partners X,2008-07-28,2008-07-07,625000000,USD,2009-01-01 18:13:44,2015-07-13 15:56:48
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,b9450517-3eb6-5dce-3046-53587ef1910f,KPCB Green Growth Fund LLC,,2008-05-29,,USD,2016-07-16 08:46:22.35537,2016-07-16 08:46:49.474826
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,93b231e2-7117-3806-afe6-b67c5d904138,KPCB XIII LLC,,2008-05-29,,USD,2016-07-16 08:55:56.884097,2016-07-16 08:56:29.515586
d5df3873-7871-c608-0284-c74d0b555ccd,d2cc526c-08da-8a2f-b0dc-d6d2e0b4a956,"Lightspeed Venture Partners VIII, LP",,2008-05-12,800000000,USD,2015-09-26 11:52:22,2015-09-29 10:12:57
2d0a5bf0-e53e-9a07-2243-9bcd561421ec,391ba272-b127-47a7-f076-a2f335cd482d,iFund,,2008-03-06,100000000,USD,2014-06-05 15:28:01,2016-06-22 21:24:30.060972
b08efc27-da40-505a-6f9d-c9e14247bf36,76e30500-39e4-67ba-e6c4-90259ded4be6,"Accel X Strategic Partners, LP",,2008-03-05,,USD,2015-09-26 13:11:18,2015-09-26 13:11:46
043d9e52-dcc0-0dd8-6074-206e42e20e13,6528bf37-4ebd-a14d-8123-be674107ad51,First Round II,,2008-02-08,125000000,USD,2014-06-26 19:00:55,2015-07-13 15:41:52
34a9bb66-0984-8de0-e7fb-13e976b4a135,20288f06-01f0-1164-6f92-edb7739a1314,General Catalyst Group V LP,2007-09-01,2007-12-19,500000000,USD,2015-09-02 14:28:39,2016-02-04 16:37:20.430888
